"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_SIZEBAND_NAME","LEGAL_STATUS_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2013","North Somerset","E06000024","J : Information and communication","10 to 19","Private sector total","Value",15,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","10 to 19","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","20 to 49","Total","Value",5,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","20 to 49","Private sector total","Value",5,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","20 to 49","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","Medium-sized (50 to 249)","Total","Value",5,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","Medium-sized (50 to 249)","Private sector total","Value",5,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","Medium-sized (50 to 249)","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","50 to 99","Total","Value",5,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","50 to 99","Private sector total","Value",5,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","50 to 99","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","100 to 249","Total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","100 to 249","Private sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","100 to 249","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","Large (250+)","Total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","Large (250+)","Private sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","Large (250+)","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","250 to 499","Total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","250 to 499","Private sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","250 to 499","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","500 to 999","Total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","500 to 999","Private sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","500 to 999","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","1000+","Total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","1000+","Private sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","J : Information and communication","1000+","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","Total","Total","Value",175,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","Total","Private sector total","Value",175,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","Total","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","Micro (0 to 9)","Total","Value",160,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","Micro (0 to 9)","Private sector total","Value",160,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","Micro (0 to 9)","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","0 to 4","Total","Value",140,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","0 to 4","Private sector total","Value",140,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","0 to 4","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","5 to 9","Total","Value",20,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","5 to 9","Private sector total","Value",20,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","5 to 9","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","Small (10 to 49)","Total","Value",15,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","Small (10 to 49)","Private sector total","Value",15,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","Small (10 to 49)","Public sector total","Value",0,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","10 to 19","Total","Value",15,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","10 to 19","Private sector total","Value",15,"Normal Value"
"2013","North Somerset","E06000024","K : Financial and insurance activities","10 to 19","Public sector total","Value",0,"Normal Value"
