"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_SIZEBAND_NAME","LEGAL_STATUS_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2020","Brighton and Hove","E06000043","J : Information and communication","250 to 499","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","J : Information and communication","250 to 499","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","J : Information and communication","500 to 999","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","J : Information and communication","500 to 999","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","J : Information and communication","500 to 999","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","J : Information and communication","1000+","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","J : Information and communication","1000+","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","J : Information and communication","1000+","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Total","Total","Value",215,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Total","Private sector total","Value",215,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Total","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Micro (0 to 9)","Total","Value",200,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Micro (0 to 9)","Private sector total","Value",200,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Micro (0 to 9)","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","0 to 4","Total","Value",180,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","0 to 4","Private sector total","Value",180,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","0 to 4","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","5 to 9","Total","Value",20,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","5 to 9","Private sector total","Value",20,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","5 to 9","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Small (10 to 49)","Total","Value",10,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Small (10 to 49)","Private sector total","Value",10,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Small (10 to 49)","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","10 to 19","Total","Value",5,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","10 to 19","Private sector total","Value",5,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","10 to 19","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","20 to 49","Total","Value",5,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","20 to 49","Private sector total","Value",5,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","20 to 49","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Medium-sized (50 to 249)","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Medium-sized (50 to 249)","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Medium-sized (50 to 249)","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","50 to 99","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","50 to 99","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","50 to 99","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","100 to 249","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","100 to 249","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","100 to 249","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Large (250+)","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Large (250+)","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","Large (250+)","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","250 to 499","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","250 to 499","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","250 to 499","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","500 to 999","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","500 to 999","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","500 to 999","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","1000+","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","1000+","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","K : Financial and insurance activities","1000+","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Total","Total","Value",540,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Total","Private sector total","Value",540,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Total","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Micro (0 to 9)","Total","Value",505,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Micro (0 to 9)","Private sector total","Value",505,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Micro (0 to 9)","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","0 to 4","Total","Value",425,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","0 to 4","Private sector total","Value",425,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","0 to 4","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","5 to 9","Total","Value",80,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","5 to 9","Private sector total","Value",80,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","5 to 9","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Small (10 to 49)","Total","Value",35,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Small (10 to 49)","Private sector total","Value",35,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Small (10 to 49)","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","10 to 19","Total","Value",30,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","10 to 19","Private sector total","Value",30,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","10 to 19","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","20 to 49","Total","Value",5,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","20 to 49","Private sector total","Value",5,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","20 to 49","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Medium-sized (50 to 249)","Total","Value",5,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Medium-sized (50 to 249)","Private sector total","Value",5,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Medium-sized (50 to 249)","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","50 to 99","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","50 to 99","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","50 to 99","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","100 to 249","Total","Value",5,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","100 to 249","Private sector total","Value",5,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","100 to 249","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Large (250+)","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Large (250+)","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","Large (250+)","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","250 to 499","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","250 to 499","Private sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","250 to 499","Public sector total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","500 to 999","Total","Value",0,"Normal Value"
"2020","Brighton and Hove","E06000043","L : Real estate activities","500 to 999","Private sector total","Value",0,"Normal Value"
