"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","PAY_NAME","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2021","Great Yarmouth","E07000145","Total","Hours worked - total","60 percentile","Value",37.5,"Normal Value"
"2021","Great Yarmouth","E07000145","Total","Hours worked - total","60 percentile","Confidence",3.6,"Normal Value"
"2021","Great Yarmouth","E07000145","Total","Hours worked - total","70 percentile","Value",40.0,"Normal Value"
"2021","Great Yarmouth","E07000145","Total","Hours worked - total","70 percentile","Confidence",3.1,"Normal Value"
"2021","Great Yarmouth","E07000145","Total","Hours worked - total","75 percentile","Value",40.0,"Normal Value"
"2021","Great Yarmouth","E07000145","Total","Hours worked - total","75 percentile","Confidence",4.6,"Normal Value"
"2021","Great Yarmouth","E07000145","Total","Hours worked - total","80 percentile","Value",40.5,"Normal Value"
"2021","Great Yarmouth","E07000145","Total","Hours worked - total","80 percentile","Confidence",4.3,"Normal Value"
"2021","Great Yarmouth","E07000145","Total","Hours worked - total","90 percentile","Value",,"These figures are missing."
"2021","Great Yarmouth","E07000145","Total","Hours worked - total","90 percentile","Confidence",,"These figures are missing."
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","Number of jobs","Value",55000,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","Number of jobs","Confidence",6.4,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","Median","Value",456.8,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","Median","Confidence",6.4,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","Annual percentage change - median","Value",,"These figures are missing."
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","Annual percentage change - median","Confidence",,"These figures are missing."
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","10 percentile","Value",132.4,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","10 percentile","Confidence",14.0,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","20 percentile","Value",240.6,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","20 percentile","Confidence",11.0,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","25 percentile","Value",271.1,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","25 percentile","Confidence",11.0,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","30 percentile","Value",328.9,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","30 percentile","Confidence",8.2,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","40 percentile","Value",396.9,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","40 percentile","Confidence",5.6,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","60 percentile","Value",532.8,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","60 percentile","Confidence",5.5,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","70 percentile","Value",590.6,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","70 percentile","Confidence",7.8,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","75 percentile","Value",638.2,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","75 percentile","Confidence",9.7,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","80 percentile","Value",710.0,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","80 percentile","Confidence",12.0,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","90 percentile","Value",,"These figures are missing."
"2021","King's Lynn and West Norfolk","E07000146","Total","Weekly pay - gross","90 percentile","Confidence",,"These figures are missing."
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","Number of jobs","Value",55000,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","Number of jobs","Confidence",6.4,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","Median","Value",12.98,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","Median","Confidence",4.8,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","Annual percentage change - median","Value",,"These figures are missing."
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","Annual percentage change - median","Confidence",,"These figures are missing."
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","10 percentile","Value",8.91,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","10 percentile","Confidence",1.3,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","20 percentile","Value",9.39,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","20 percentile","Confidence",2.1,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","25 percentile","Value",9.76,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","25 percentile","Confidence",3.1,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","30 percentile","Value",10.43,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","30 percentile","Confidence",3.2,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","40 percentile","Value",11.27,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","40 percentile","Confidence",4.4,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","60 percentile","Value",14.18,"Normal Value"
"2021","King's Lynn and West Norfolk","E07000146","Total","Hourly pay - gross","60 percentile","Confidence",4.7,"Normal Value"
