"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","PAY_NAME","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2020","Powys","W06000023","Total","Annual pay - incentive","40 percentile","Confidence",,"These figures are missing."
"2020","Powys","W06000023","Total","Annual pay - incentive","60 percentile","Value",,"These figures are missing."
"2020","Powys","W06000023","Total","Annual pay - incentive","60 percentile","Confidence",,"These figures are missing."
"2020","Powys","W06000023","Total","Annual pay - incentive","70 percentile","Value",,"These figures are missing."
"2020","Powys","W06000023","Total","Annual pay - incentive","70 percentile","Confidence",,"These figures are missing."
"2020","Powys","W06000023","Total","Annual pay - incentive","75 percentile","Value",,"These figures are missing."
"2020","Powys","W06000023","Total","Annual pay - incentive","75 percentile","Confidence",,"These figures are missing."
"2020","Powys","W06000023","Total","Annual pay - incentive","80 percentile","Value",,"These figures are missing."
"2020","Powys","W06000023","Total","Annual pay - incentive","80 percentile","Confidence",,"These figures are missing."
"2020","Powys","W06000023","Total","Annual pay - incentive","90 percentile","Value",,"These figures are missing."
"2020","Powys","W06000023","Total","Annual pay - incentive","90 percentile","Confidence",,"These figures are missing."
"2020","Powys","W06000023","Total","Hours worked - total","Number of jobs","Value",37000,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","Number of jobs","Confidence",8.1,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","Median","Value",35.1,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","Median","Confidence",5.1,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","Annual percentage change - median","Value",,"These figures are missing."
"2020","Powys","W06000023","Total","Hours worked - total","Annual percentage change - median","Confidence",,"These figures are missing."
"2020","Powys","W06000023","Total","Hours worked - total","10 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2020","Powys","W06000023","Total","Hours worked - total","10 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2020","Powys","W06000023","Total","Hours worked - total","20 percentile","Value",19.7,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","20 percentile","Confidence",15.0,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","25 percentile","Value",24.0,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","25 percentile","Confidence",10.0,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","30 percentile","Value",26.1,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","30 percentile","Confidence",9.5,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","40 percentile","Value",30.3,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","40 percentile","Confidence",7.6,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","60 percentile","Value",37.0,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","60 percentile","Confidence",2.8,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","70 percentile","Value",37.5,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","70 percentile","Confidence",2.1,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","75 percentile","Value",39.3,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","75 percentile","Confidence",3.3,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","80 percentile","Value",40.0,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","80 percentile","Confidence",5.5,"Normal Value"
"2020","Powys","W06000023","Total","Hours worked - total","90 percentile","Value",,"These figures are missing."
"2020","Powys","W06000023","Total","Hours worked - total","90 percentile","Confidence",,"These figures are missing."
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","Number of jobs","Value",25000,"Normal Value"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","Number of jobs","Confidence",9.8,"Normal Value"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","Median","Value",389.4,"Normal Value"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","Median","Confidence",6.5,"Normal Value"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","Annual percentage change - median","Value",,"These figures are missing."
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","Annual percentage change - median","Confidence",,"These figures are missing."
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","10 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","10 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","20 percentile","Value",207.9,"Normal Value"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","20 percentile","Confidence",20.0,"Normal Value"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","25 percentile","Value",244.9,"Normal Value"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","25 percentile","Confidence",17.0,"Normal Value"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","30 percentile","Value",289.3,"Normal Value"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","30 percentile","Confidence",12.0,"Normal Value"
"2020","Ceredigion","W06000008","Total","Weekly pay - gross","40 percentile","Value",342.0,"Normal Value"
