"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","PAY_NAME","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2015","Eastleigh","E07000086","Total","Annual pay - gross","70 percentile","Value",30323,"Normal Value"
"2015","Eastleigh","E07000086","Total","Annual pay - gross","70 percentile","Confidence",9.9,"Normal Value"
"2015","Eastleigh","E07000086","Total","Annual pay - gross","75 percentile","Value",34170,"Normal Value"
"2015","Eastleigh","E07000086","Total","Annual pay - gross","75 percentile","Confidence",11.0,"Normal Value"
"2015","Eastleigh","E07000086","Total","Annual pay - gross","80 percentile","Value",36729,"Normal Value"
"2015","Eastleigh","E07000086","Total","Annual pay - gross","80 percentile","Confidence",16.0,"Normal Value"
"2015","Eastleigh","E07000086","Total","Annual pay - gross","90 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - gross","90 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","Number of jobs","Value",56000,"Normal Value"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","Number of jobs","Confidence",7.5,"Normal Value"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","Median","Value",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","Median","Confidence",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","Annual percentage change - median","Value",,"These figures are missing."
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","Annual percentage change - median","Confidence",,"These figures are missing."
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","10 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","10 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","20 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","20 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","25 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","25 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","30 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2015","Eastleigh","E07000086","Total","Annual pay - incentive","30 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
