"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","PAY_NAME","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2018","Cotswold","E07000079","Total","Hourly pay - gross","90 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Hourly pay - gross","90 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - gross","Number of jobs","Value",28000,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","Number of jobs","Confidence",13.3,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","Median","Value",19986,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","Median","Confidence",8.4,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","Annual percentage change - median","Value",,"These figures are missing."
"2018","Cotswold","E07000079","Total","Annual pay - gross","Annual percentage change - median","Confidence",,"These figures are missing."
"2018","Cotswold","E07000079","Total","Annual pay - gross","10 percentile","Value",5967,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","10 percentile","Confidence",20.0,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","20 percentile","Value",10080,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","20 percentile","Confidence",13.0,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","25 percentile","Value",11432,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","25 percentile","Confidence",14.0,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","30 percentile","Value",13041,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","30 percentile","Confidence",13.0,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","40 percentile","Value",17186,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","40 percentile","Confidence",11.0,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","60 percentile","Value",23025,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","60 percentile","Confidence",13.0,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","70 percentile","Value",27772,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","70 percentile","Confidence",15.0,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - gross","75 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - gross","75 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - gross","80 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - gross","80 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - gross","90 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - gross","90 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","Number of jobs","Value",28000,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","Number of jobs","Confidence",13.3,"Normal Value"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","Median","Value",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","Median","Confidence",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","Annual percentage change - median","Value",,"These figures are missing."
"2018","Cotswold","E07000079","Total","Annual pay - incentive","Annual percentage change - median","Confidence",,"These figures are missing."
"2018","Cotswold","E07000079","Total","Annual pay - incentive","10 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","10 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","20 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","20 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","25 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","25 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","30 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","30 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2018","Cotswold","E07000079","Total","Annual pay - incentive","40 percentile","Value",,"These figures are suppressed as statistically unreliable"
