"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","PAY_NAME","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2017","Worthing","E07000229","Total","Annual pay - incentive","80 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2017","Worthing","E07000229","Total","Annual pay - incentive","80 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2017","Worthing","E07000229","Total","Annual pay - incentive","90 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2017","Worthing","E07000229","Total","Annual pay - incentive","90 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2017","Worthing","E07000229","Total","Hours worked - total","Number of jobs","Value",45000,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","Number of jobs","Confidence",6.4,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","Median","Value",37.0,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","Median","Confidence",1.3,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","Annual percentage change - median","Value",0.0,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","Annual percentage change - median","Confidence",,"These figures are missing."
"2017","Worthing","E07000229","Total","Hours worked - total","10 percentile","Value",15.8,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","10 percentile","Confidence",14.0,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","20 percentile","Value",24.4,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","20 percentile","Confidence",9.2,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","25 percentile","Value",29.0,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","25 percentile","Confidence",6.2,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","30 percentile","Value",30.0,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","30 percentile","Confidence",6.0,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","40 percentile","Value",35.0,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","40 percentile","Confidence",4.2,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","60 percentile","Value",37.5,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","60 percentile","Confidence",0.3,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","70 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2017","Worthing","E07000229","Total","Hours worked - total","70 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2017","Worthing","E07000229","Total","Hours worked - total","75 percentile","Value",37.5,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","75 percentile","Confidence",1.7,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","80 percentile","Value",39.0,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","80 percentile","Confidence",2.9,"Normal Value"
"2017","Worthing","E07000229","Total","Hours worked - total","90 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2017","Worthing","E07000229","Total","Hours worked - total","90 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","Number of jobs","Value",84000,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","Number of jobs","Confidence",4.6,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","Median","Value",402.7,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","Median","Confidence",5.4,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","Annual percentage change - median","Value",-6.5,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","Annual percentage change - median","Confidence",,"These figures are missing."
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","10 percentile","Value",113.9,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","10 percentile","Confidence",12.0,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","20 percentile","Value",190.7,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","20 percentile","Confidence",8.5,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","25 percentile","Value",235.7,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","25 percentile","Confidence",7.3,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","30 percentile","Value",273.8,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","30 percentile","Confidence",6.6,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","40 percentile","Value",341.2,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","40 percentile","Confidence",5.2,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","60 percentile","Value",478.3,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","60 percentile","Confidence",6.1,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","70 percentile","Value",561.0,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","70 percentile","Confidence",7.5,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","75 percentile","Value",635.2,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","75 percentile","Confidence",8.6,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","80 percentile","Value",699.2,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","80 percentile","Confidence",9.3,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","90 percentile","Value",,"These figures are suppressed as statistically unreliable"
"2017","Bath and North East Somerset","E06000022","Total","Weekly pay - gross","90 percentile","Confidence",,"These figures are suppressed as statistically unreliable"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","Number of jobs","Value",84000,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","Number of jobs","Confidence",4.6,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","Median","Value",12.58,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","Median","Confidence",4.2,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","Annual percentage change - median","Value",-1.0,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","Annual percentage change - median","Confidence",,"These figures are missing."
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","10 percentile","Value",7.67,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","10 percentile","Confidence",1.4,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","20 percentile","Value",8.49,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","20 percentile","Confidence",1.6,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","25 percentile","Value",8.84,"Normal Value"
"2017","Bath and North East Somerset","E06000022","Total","Hourly pay - gross","25 percentile","Confidence",2.2,"Normal Value"
