"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","PAY_NAME","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2014","Sutton","E09000029","Total","Hours worked - total","60 percentile","Value",37.5,"Normal Value"
"2014","Sutton","E09000029","Total","Hours worked - total","60 percentile","Confidence",1.9,"Normal Value"
"2014","Sutton","E09000029","Total","Hours worked - total","70 percentile","Value",39.8,"Normal Value"
"2014","Sutton","E09000029","Total","Hours worked - total","70 percentile","Confidence",2.3,"Normal Value"
"2014","Sutton","E09000029","Total","Hours worked - total","75 percentile","Value",40.1,"Normal Value"
"2014","Sutton","E09000029","Total","Hours worked - total","75 percentile","Confidence",2.6,"Normal Value"
"2014","Sutton","E09000029","Total","Hours worked - total","80 percentile","Value",42.0,"Normal Value"
"2014","Sutton","E09000029","Total","Hours worked - total","80 percentile","Confidence",3.6,"Normal Value"
"2014","Sutton","E09000029","Total","Hours worked - total","90 percentile","Value",47.5,"Normal Value"
"2014","Sutton","E09000029","Total","Hours worked - total","90 percentile","Confidence",8.8,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","Number of jobs","Value",41000,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","Number of jobs","Confidence",6.1,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","Median","Value",363.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","Median","Confidence",7.5,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","Annual percentage change - median","Value",-4.6,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","Annual percentage change - median","Confidence",,"These figures are missing."
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","10 percentile","Value",101.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","10 percentile","Confidence",14.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","20 percentile","Value",162.2,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","20 percentile","Confidence",11.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","25 percentile","Value",209.8,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","25 percentile","Confidence",9.4,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","30 percentile","Value",235.9,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","30 percentile","Confidence",7.4,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","40 percentile","Value",302.4,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","40 percentile","Confidence",7.7,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","60 percentile","Value",438.8,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","60 percentile","Confidence",11.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","70 percentile","Value",572.9,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","70 percentile","Confidence",10.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","75 percentile","Value",617.9,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","75 percentile","Confidence",8.5,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","80 percentile","Value",672.5,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","80 percentile","Confidence",9.3,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","90 percentile","Value",,"These figures are missing."
"2014","Waltham Forest","E09000031","Total","Weekly pay - gross","90 percentile","Confidence",,"These figures are missing."
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","Number of jobs","Value",41000,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","Number of jobs","Confidence",6.1,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","Median","Value",10.18,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","Median","Confidence",5.8,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","Annual percentage change - median","Value",-9.5,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","Annual percentage change - median","Confidence",,"These figures are missing."
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","10 percentile","Value",6.57,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","10 percentile","Confidence",1.9,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","20 percentile","Value",7.29,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","20 percentile","Confidence",2.2,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","25 percentile","Value",7.50,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","25 percentile","Confidence",2.2,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","30 percentile","Value",7.87,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","30 percentile","Confidence",2.8,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","40 percentile","Value",8.94,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","40 percentile","Confidence",5.2,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","60 percentile","Value",12.72,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","60 percentile","Confidence",8.9,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","70 percentile","Value",15.30,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","70 percentile","Confidence",7.6,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","75 percentile","Value",16.67,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","75 percentile","Confidence",8.6,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","80 percentile","Value",17.69,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","80 percentile","Confidence",12.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","90 percentile","Value",,"These figures are missing."
"2014","Waltham Forest","E09000031","Total","Hourly pay - gross","90 percentile","Confidence",,"These figures are missing."
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","Number of jobs","Value",37000,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","Number of jobs","Confidence",9.3,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","Median","Value",17980,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","Median","Confidence",11.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","Annual percentage change - median","Value",,"These figures are missing."
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","Annual percentage change - median","Confidence",,"These figures are missing."
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","10 percentile","Value",5161,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","10 percentile","Confidence",16.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","20 percentile","Value",7905,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","20 percentile","Confidence",13.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","25 percentile","Value",9904,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","25 percentile","Confidence",11.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","30 percentile","Value",11690,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","30 percentile","Confidence",10.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","40 percentile","Value",14314,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","40 percentile","Confidence",8.5,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","60 percentile","Value",22814,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","60 percentile","Confidence",13.0,"Normal Value"
"2014","Waltham Forest","E09000031","Total","Annual pay - gross","70 percentile","Value",28920,"Normal Value"
