"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_STATUS_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2017","King's Lynn and West Norfolk","E07000146","62 : Computer programming, consultancy and related activities","Part-time employees","Count","Value",50,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","62 : Computer programming, consultancy and related activities","Part-time employees","Industry percentage","Value",0.3,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","63 : Information service activities","Employees","Count","Value",15,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","63 : Information service activities","Employees","Industry percentage","Value",0.0,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","63 : Information service activities","Full-time employees","Count","Value",5,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","63 : Information service activities","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","63 : Information service activities","Part-time employees","Count","Value",5,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","63 : Information service activities","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","64 : Financial service activities, except insurance and pension funding","Employees","Count","Value",175,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","64 : Financial service activities, except insurance and pension funding","Employees","Industry percentage","Value",0.3,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","64 : Financial service activities, except insurance and pension funding","Full-time employees","Count","Value",100,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","64 : Financial service activities, except insurance and pension funding","Full-time employees","Industry percentage","Value",0.3,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","64 : Financial service activities, except insurance and pension funding","Part-time employees","Count","Value",75,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","64 : Financial service activities, except insurance and pension funding","Part-time employees","Industry percentage","Value",0.4,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","65 : Insurance, reinsurance and pension funding, except compulsory social security","Employees","Count","Value",10,"Normal Value"
"2017","King's Lynn and West Norfolk","E07000146","65 : Insurance, reinsurance and pension funding, except compulsory social security","Employees","Industry percentage","Value",0.0,"Normal Value"
