"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_STATUS_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2020","Surrey Heath","E07000214","31 : Manufacture of furniture","Full-time employees","Count","Value",400,"Normal Value"
"2020","Surrey Heath","E07000214","31 : Manufacture of furniture","Full-time employees","Industry percentage","Value",1.2,"Normal Value"
"2020","Surrey Heath","E07000214","31 : Manufacture of furniture","Part-time employees","Count","Value",100,"Normal Value"
"2020","Surrey Heath","E07000214","31 : Manufacture of furniture","Part-time employees","Industry percentage","Value",0.6,"Normal Value"
"2020","Surrey Heath","E07000214","32 : Other manufacturing","Employees","Count","Value",45,"Normal Value"
"2020","Surrey Heath","E07000214","32 : Other manufacturing","Employees","Industry percentage","Value",0.1,"Normal Value"
"2020","Surrey Heath","E07000214","32 : Other manufacturing","Full-time employees","Count","Value",35,"Normal Value"
"2020","Surrey Heath","E07000214","32 : Other manufacturing","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2020","Surrey Heath","E07000214","32 : Other manufacturing","Part-time employees","Count","Value",10,"Normal Value"
"2020","Surrey Heath","E07000214","32 : Other manufacturing","Part-time employees","Industry percentage","Value",0.1,"Normal Value"
"2020","Surrey Heath","E07000214","33 : Repair and installation of machinery and equipment","Employees","Count","Value",125,"Normal Value"
"2020","Surrey Heath","E07000214","33 : Repair and installation of machinery and equipment","Employees","Industry percentage","Value",0.2,"Normal Value"
"2020","Surrey Heath","E07000214","33 : Repair and installation of machinery and equipment","Full-time employees","Count","Value",125,"Normal Value"
"2020","Surrey Heath","E07000214","33 : Repair and installation of machinery and equipment","Full-time employees","Industry percentage","Value",0.4,"Normal Value"
"2020","Surrey Heath","E07000214","33 : Repair and installation of machinery and equipment","Part-time employees","Count","Value",15,"Normal Value"
"2020","Surrey Heath","E07000214","33 : Repair and installation of machinery and equipment","Part-time employees","Industry percentage","Value",0.1,"Normal Value"
"2020","Surrey Heath","E07000214","35 : Electricity, gas, steam and air conditioning supply","Employees","Count","Value",5,"Normal Value"
"2020","Surrey Heath","E07000214","35 : Electricity, gas, steam and air conditioning supply","Employees","Industry percentage","Value",0.0,"Normal Value"
"2020","Surrey Heath","E07000214","35 : Electricity, gas, steam and air conditioning supply","Full-time employees","Count","Value",5,"Normal Value"
"2020","Surrey Heath","E07000214","35 : Electricity, gas, steam and air conditioning supply","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2020","Surrey Heath","E07000214","35 : Electricity, gas, steam and air conditioning supply","Part-time employees","Count","Value",0,"Normal Value"
"2020","Surrey Heath","E07000214","35 : Electricity, gas, steam and air conditioning supply","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2020","Surrey Heath","E07000214","36 : Water collection, treatment and supply","Employees","Count","Value",0,"Normal Value"
"2020","Surrey Heath","E07000214","36 : Water collection, treatment and supply","Employees","Industry percentage","Value",0.0,"Normal Value"
"2020","Surrey Heath","E07000214","36 : Water collection, treatment and supply","Full-time employees","Count","Value",0,"Normal Value"
"2020","Surrey Heath","E07000214","36 : Water collection, treatment and supply","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2020","Surrey Heath","E07000214","36 : Water collection, treatment and supply","Part-time employees","Count","Value",0,"Normal Value"
"2020","Surrey Heath","E07000214","36 : Water collection, treatment and supply","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2020","Surrey Heath","E07000214","37 : Sewerage","Employees","Count","Value",75,"Normal Value"
"2020","Surrey Heath","E07000214","37 : Sewerage","Employees","Industry percentage","Value",0.1,"Normal Value"
"2020","Surrey Heath","E07000214","37 : Sewerage","Full-time employees","Count","Value",75,"Normal Value"
"2020","Surrey Heath","E07000214","37 : Sewerage","Full-time employees","Industry percentage","Value",0.2,"Normal Value"
"2020","Surrey Heath","E07000214","37 : Sewerage","Part-time employees","Count","Value",5,"Normal Value"
"2020","Surrey Heath","E07000214","37 : Sewerage","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2020","Surrey Heath","E07000214","38 : Waste collection, treatment and disposal activities; materials recovery","Employees","Count","Value",125,"Normal Value"
"2020","Surrey Heath","E07000214","38 : Waste collection, treatment and disposal activities; materials recovery","Employees","Industry percentage","Value",0.2,"Normal Value"
"2020","Surrey Heath","E07000214","38 : Waste collection, treatment and disposal activities; materials recovery","Full-time employees","Count","Value",125,"Normal Value"
"2020","Surrey Heath","E07000214","38 : Waste collection, treatment and disposal activities; materials recovery","Full-time employees","Industry percentage","Value",0.4,"Normal Value"
