"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_STATUS_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2019","Cheltenham","E07000078","90 : Creative, arts and entertainment activities","Part-time employees","Count","Value",125,"Normal Value"
"2019","Cheltenham","E07000078","90 : Creative, arts and entertainment activities","Part-time employees","Industry percentage","Value",0.5,"Normal Value"
"2019","Cheltenham","E07000078","91 : Libraries, archives, museums and other cultural activities","Employees","Count","Value",150,"Normal Value"
"2019","Cheltenham","E07000078","91 : Libraries, archives, museums and other cultural activities","Employees","Industry percentage","Value",0.2,"Normal Value"
"2019","Cheltenham","E07000078","91 : Libraries, archives, museums and other cultural activities","Full-time employees","Count","Value",50,"Normal Value"
"2019","Cheltenham","E07000078","91 : Libraries, archives, museums and other cultural activities","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2019","Cheltenham","E07000078","91 : Libraries, archives, museums and other cultural activities","Part-time employees","Count","Value",100,"Normal Value"
"2019","Cheltenham","E07000078","91 : Libraries, archives, museums and other cultural activities","Part-time employees","Industry percentage","Value",0.4,"Normal Value"
"2019","Cheltenham","E07000078","92 : Gambling and betting activities","Employees","Count","Value",75,"Normal Value"
"2019","Cheltenham","E07000078","92 : Gambling and betting activities","Employees","Industry percentage","Value",0.1,"Normal Value"
"2019","Cheltenham","E07000078","92 : Gambling and betting activities","Full-time employees","Count","Value",30,"Normal Value"
"2019","Cheltenham","E07000078","92 : Gambling and betting activities","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2019","Cheltenham","E07000078","92 : Gambling and betting activities","Part-time employees","Count","Value",45,"Normal Value"
"2019","Cheltenham","E07000078","92 : Gambling and betting activities","Part-time employees","Industry percentage","Value",0.2,"Normal Value"
"2019","Cheltenham","E07000078","93 : Sports activities and amusement and recreation activities","Employees","Count","Value",900,"Normal Value"
"2019","Cheltenham","E07000078","93 : Sports activities and amusement and recreation activities","Employees","Industry percentage","Value",1.5,"Normal Value"
"2019","Cheltenham","E07000078","93 : Sports activities and amusement and recreation activities","Full-time employees","Count","Value",350,"Normal Value"
"2019","Cheltenham","E07000078","93 : Sports activities and amusement and recreation activities","Full-time employees","Industry percentage","Value",0.9,"Normal Value"
"2019","Cheltenham","E07000078","93 : Sports activities and amusement and recreation activities","Part-time employees","Count","Value",600,"Normal Value"
"2019","Cheltenham","E07000078","93 : Sports activities and amusement and recreation activities","Part-time employees","Industry percentage","Value",2.5,"Normal Value"
"2019","Cheltenham","E07000078","94 : Activities of membership organisations","Employees","Count","Value",350,"Normal Value"
"2019","Cheltenham","E07000078","94 : Activities of membership organisations","Employees","Industry percentage","Value",0.6,"Normal Value"
"2019","Cheltenham","E07000078","94 : Activities of membership organisations","Full-time employees","Count","Value",100,"Normal Value"
"2019","Cheltenham","E07000078","94 : Activities of membership organisations","Full-time employees","Industry percentage","Value",0.3,"Normal Value"
"2019","Cheltenham","E07000078","94 : Activities of membership organisations","Part-time employees","Count","Value",250,"Normal Value"
"2019","Cheltenham","E07000078","94 : Activities of membership organisations","Part-time employees","Industry percentage","Value",1.0,"Normal Value"
