"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_STATUS_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2018","Aberdeen City","S12000033","45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","Employees","Count","Value",2500,"Normal Value"
"2018","Aberdeen City","S12000033","45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","Employees","Industry percentage","Value",1.4,"Normal Value"
"2018","Aberdeen City","S12000033","45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","Full-time employees","Count","Value",2250,"Normal Value"
"2018","Aberdeen City","S12000033","45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","Full-time employees","Industry percentage","Value",1.9,"Normal Value"
"2018","Aberdeen City","S12000033","45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","Part-time employees","Count","Value",300,"Normal Value"
"2018","Aberdeen City","S12000033","45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","Part-time employees","Industry percentage","Value",0.5,"Normal Value"
"2018","Aberdeen City","S12000033","46 : Wholesale trade, except of motor vehicles and motorcycles","Employees","Count","Value",5000,"Normal Value"
"2018","Aberdeen City","S12000033","46 : Wholesale trade, except of motor vehicles and motorcycles","Employees","Industry percentage","Value",2.9,"Normal Value"
"2018","Aberdeen City","S12000033","46 : Wholesale trade, except of motor vehicles and motorcycles","Full-time employees","Count","Value",4500,"Normal Value"
"2018","Aberdeen City","S12000033","46 : Wholesale trade, except of motor vehicles and motorcycles","Full-time employees","Industry percentage","Value",3.8,"Normal Value"
"2018","Aberdeen City","S12000033","46 : Wholesale trade, except of motor vehicles and motorcycles","Part-time employees","Count","Value",600,"Normal Value"
"2018","Aberdeen City","S12000033","46 : Wholesale trade, except of motor vehicles and motorcycles","Part-time employees","Industry percentage","Value",1.1,"Normal Value"
"2018","Aberdeen City","S12000033","47 : Retail trade, except of motor vehicles and motorcycles","Employees","Count","Value",12000,"Normal Value"
"2018","Aberdeen City","S12000033","47 : Retail trade, except of motor vehicles and motorcycles","Employees","Industry percentage","Value",6.9,"Normal Value"
"2018","Aberdeen City","S12000033","47 : Retail trade, except of motor vehicles and motorcycles","Full-time employees","Count","Value",4000,"Normal Value"
"2018","Aberdeen City","S12000033","47 : Retail trade, except of motor vehicles and motorcycles","Full-time employees","Industry percentage","Value",3.4,"Normal Value"
"2018","Aberdeen City","S12000033","47 : Retail trade, except of motor vehicles and motorcycles","Part-time employees","Count","Value",7000,"Normal Value"
"2018","Aberdeen City","S12000033","47 : Retail trade, except of motor vehicles and motorcycles","Part-time employees","Industry percentage","Value",12.7,"Normal Value"
"2018","Aberdeen City","S12000033","49 : Land transport and transport via pipelines","Employees","Count","Value",2500,"Normal Value"
"2018","Aberdeen City","S12000033","49 : Land transport and transport via pipelines","Employees","Industry percentage","Value",1.4,"Normal Value"
"2018","Aberdeen City","S12000033","49 : Land transport and transport via pipelines","Full-time employees","Count","Value",2250,"Normal Value"
"2018","Aberdeen City","S12000033","49 : Land transport and transport via pipelines","Full-time employees","Industry percentage","Value",1.9,"Normal Value"
"2018","Aberdeen City","S12000033","49 : Land transport and transport via pipelines","Part-time employees","Count","Value",250,"Normal Value"
"2018","Aberdeen City","S12000033","49 : Land transport and transport via pipelines","Part-time employees","Industry percentage","Value",0.5,"Normal Value"
"2018","Aberdeen City","S12000033","50 : Water transport","Employees","Count","Value",200,"Normal Value"
"2018","Aberdeen City","S12000033","50 : Water transport","Employees","Industry percentage","Value",0.1,"Normal Value"
"2018","Aberdeen City","S12000033","50 : Water transport","Full-time employees","Count","Value",175,"Normal Value"
"2018","Aberdeen City","S12000033","50 : Water transport","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2018","Aberdeen City","S12000033","50 : Water transport","Part-time employees","Count","Value",25,"Normal Value"
"2018","Aberdeen City","S12000033","50 : Water transport","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2018","Aberdeen City","S12000033","51 : Air transport","Employees","Count","Value",1000,"Normal Value"
"2018","Aberdeen City","S12000033","51 : Air transport","Employees","Industry percentage","Value",0.6,"Normal Value"
"2018","Aberdeen City","S12000033","51 : Air transport","Full-time employees","Count","Value",700,"Normal Value"
"2018","Aberdeen City","S12000033","51 : Air transport","Full-time employees","Industry percentage","Value",0.6,"Normal Value"
"2018","Aberdeen City","S12000033","51 : Air transport","Part-time employees","Count","Value",400,"Normal Value"
"2018","Aberdeen City","S12000033","51 : Air transport","Part-time employees","Industry percentage","Value",0.7,"Normal Value"
"2018","Aberdeen City","S12000033","52 : Warehousing and support activities for transportation","Employees","Count","Value",3000,"Normal Value"
"2018","Aberdeen City","S12000033","52 : Warehousing and support activities for transportation","Employees","Industry percentage","Value",1.7,"Normal Value"
"2018","Aberdeen City","S12000033","52 : Warehousing and support activities for transportation","Full-time employees","Count","Value",3000,"Normal Value"
"2018","Aberdeen City","S12000033","52 : Warehousing and support activities for transportation","Full-time employees","Industry percentage","Value",2.5,"Normal Value"
"2018","Aberdeen City","S12000033","52 : Warehousing and support activities for transportation","Part-time employees","Count","Value",300,"Normal Value"
"2018","Aberdeen City","S12000033","52 : Warehousing and support activities for transportation","Part-time employees","Industry percentage","Value",0.5,"Normal Value"
"2018","Aberdeen City","S12000033","53 : Postal and courier activities","Employees","Count","Value",900,"Normal Value"
"2018","Aberdeen City","S12000033","53 : Postal and courier activities","Employees","Industry percentage","Value",0.5,"Normal Value"
"2018","Aberdeen City","S12000033","53 : Postal and courier activities","Full-time employees","Count","Value",700,"Normal Value"
"2018","Aberdeen City","S12000033","53 : Postal and courier activities","Full-time employees","Industry percentage","Value",0.6,"Normal Value"
"2018","Aberdeen City","S12000033","53 : Postal and courier activities","Part-time employees","Count","Value",250,"Normal Value"
"2018","Aberdeen City","S12000033","53 : Postal and courier activities","Part-time employees","Industry percentage","Value",0.5,"Normal Value"
"2018","Aberdeen City","S12000033","55 : Accommodation","Employees","Count","Value",3000,"Normal Value"
"2018","Aberdeen City","S12000033","55 : Accommodation","Employees","Industry percentage","Value",1.7,"Normal Value"
"2018","Aberdeen City","S12000033","55 : Accommodation","Full-time employees","Count","Value",1500,"Normal Value"
"2018","Aberdeen City","S12000033","55 : Accommodation","Full-time employees","Industry percentage","Value",1.3,"Normal Value"
"2018","Aberdeen City","S12000033","55 : Accommodation","Part-time employees","Count","Value",1500,"Normal Value"
"2018","Aberdeen City","S12000033","55 : Accommodation","Part-time employees","Industry percentage","Value",2.7,"Normal Value"
"2018","Aberdeen City","S12000033","56 : Food and beverage service activities","Employees","Count","Value",11000,"Normal Value"
"2018","Aberdeen City","S12000033","56 : Food and beverage service activities","Employees","Industry percentage","Value",6.4,"Normal Value"
"2018","Aberdeen City","S12000033","56 : Food and beverage service activities","Full-time employees","Count","Value",5000,"Normal Value"
"2018","Aberdeen City","S12000033","56 : Food and beverage service activities","Full-time employees","Industry percentage","Value",4.2,"Normal Value"
"2018","Aberdeen City","S12000033","56 : Food and beverage service activities","Part-time employees","Count","Value",6000,"Normal Value"
"2018","Aberdeen City","S12000033","56 : Food and beverage service activities","Part-time employees","Industry percentage","Value",10.9,"Normal Value"
"2018","Aberdeen City","S12000033","58 : Publishing activities","Employees","Count","Value",225,"Normal Value"
"2018","Aberdeen City","S12000033","58 : Publishing activities","Employees","Industry percentage","Value",0.1,"Normal Value"
"2018","Aberdeen City","S12000033","58 : Publishing activities","Full-time employees","Count","Value",200,"Normal Value"
"2018","Aberdeen City","S12000033","58 : Publishing activities","Full-time employees","Industry percentage","Value",0.2,"Normal Value"
"2018","Aberdeen City","S12000033","58 : Publishing activities","Part-time employees","Count","Value",40,"Normal Value"
"2018","Aberdeen City","S12000033","58 : Publishing activities","Part-time employees","Industry percentage","Value",0.1,"Normal Value"
"2018","Aberdeen City","S12000033","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Employees","Count","Value",175,"Normal Value"
