"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_STATUS_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2021","Thurrock","E06000034","08 : Other mining and quarrying","Part-time employees","Count","Value",0,"Normal Value"
"2021","Thurrock","E06000034","08 : Other mining and quarrying","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","09 : Mining support service activities","Employees","Count","Value",0,"Normal Value"
"2021","Thurrock","E06000034","09 : Mining support service activities","Employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","09 : Mining support service activities","Full-time employees","Count","Value",0,"Normal Value"
"2021","Thurrock","E06000034","09 : Mining support service activities","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","09 : Mining support service activities","Part-time employees","Count","Value",0,"Normal Value"
"2021","Thurrock","E06000034","09 : Mining support service activities","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","10 : Manufacture of food products","Employees","Count","Value",350,"Normal Value"
"2021","Thurrock","E06000034","10 : Manufacture of food products","Employees","Industry percentage","Value",0.5,"Normal Value"
"2021","Thurrock","E06000034","10 : Manufacture of food products","Full-time employees","Count","Value",350,"Normal Value"
"2021","Thurrock","E06000034","10 : Manufacture of food products","Full-time employees","Industry percentage","Value",0.7,"Normal Value"
"2021","Thurrock","E06000034","10 : Manufacture of food products","Part-time employees","Count","Value",25,"Normal Value"
"2021","Thurrock","E06000034","10 : Manufacture of food products","Part-time employees","Industry percentage","Value",0.1,"Normal Value"
"2021","Thurrock","E06000034","11 : Manufacture of beverages","Employees","Count","Value",0,"Normal Value"
"2021","Thurrock","E06000034","11 : Manufacture of beverages","Employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","11 : Manufacture of beverages","Full-time employees","Count","Value",0,"Normal Value"
"2021","Thurrock","E06000034","11 : Manufacture of beverages","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","11 : Manufacture of beverages","Part-time employees","Count","Value",0,"Normal Value"
"2021","Thurrock","E06000034","11 : Manufacture of beverages","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","12 : Manufacture of tobacco products","Employees","Count","Value",0,"Normal Value"
"2021","Thurrock","E06000034","12 : Manufacture of tobacco products","Employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","12 : Manufacture of tobacco products","Full-time employees","Count","Value",0,"Normal Value"
"2021","Thurrock","E06000034","12 : Manufacture of tobacco products","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","12 : Manufacture of tobacco products","Part-time employees","Count","Value",0,"Normal Value"
"2021","Thurrock","E06000034","12 : Manufacture of tobacco products","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","13 : Manufacture of textiles","Employees","Count","Value",75,"Normal Value"
"2021","Thurrock","E06000034","13 : Manufacture of textiles","Employees","Industry percentage","Value",0.1,"Normal Value"
"2021","Thurrock","E06000034","13 : Manufacture of textiles","Full-time employees","Count","Value",50,"Normal Value"
"2021","Thurrock","E06000034","13 : Manufacture of textiles","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2021","Thurrock","E06000034","13 : Manufacture of textiles","Part-time employees","Count","Value",15,"Normal Value"
"2021","Thurrock","E06000034","13 : Manufacture of textiles","Part-time employees","Industry percentage","Value",0.1,"Normal Value"
"2021","Thurrock","E06000034","14 : Manufacture of wearing apparel","Employees","Count","Value",5,"Normal Value"
"2021","Thurrock","E06000034","14 : Manufacture of wearing apparel","Employees","Industry percentage","Value",0.0,"Normal Value"
"2021","Thurrock","E06000034","14 : Manufacture of wearing apparel","Full-time employees","Count","Value",0,"Normal Value"
