"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_STATUS_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2021","Fareham","E07000087","78 : Employment activities","Employees","Count","Value",2000,"Normal Value"
"2021","Fareham","E07000087","78 : Employment activities","Employees","Industry percentage","Value",4.1,"Normal Value"
"2021","Fareham","E07000087","78 : Employment activities","Full-time employees","Count","Value",1250,"Normal Value"
"2021","Fareham","E07000087","78 : Employment activities","Full-time employees","Industry percentage","Value",3.8,"Normal Value"
"2021","Fareham","E07000087","78 : Employment activities","Part-time employees","Count","Value",800,"Normal Value"
"2021","Fareham","E07000087","78 : Employment activities","Part-time employees","Industry percentage","Value",5.0,"Normal Value"
"2021","Fareham","E07000087","79 : Travel agency, tour operator and other reservation service and related activities","Employees","Count","Value",35,"Normal Value"
"2021","Fareham","E07000087","79 : Travel agency, tour operator and other reservation service and related activities","Employees","Industry percentage","Value",0.1,"Normal Value"
"2021","Fareham","E07000087","79 : Travel agency, tour operator and other reservation service and related activities","Full-time employees","Count","Value",20,"Normal Value"
"2021","Fareham","E07000087","79 : Travel agency, tour operator and other reservation service and related activities","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2021","Fareham","E07000087","79 : Travel agency, tour operator and other reservation service and related activities","Part-time employees","Count","Value",10,"Normal Value"
"2021","Fareham","E07000087","79 : Travel agency, tour operator and other reservation service and related activities","Part-time employees","Industry percentage","Value",0.1,"Normal Value"
"2021","Fareham","E07000087","80 : Security and investigation activities","Employees","Count","Value",500,"Normal Value"
"2021","Fareham","E07000087","80 : Security and investigation activities","Employees","Industry percentage","Value",1.0,"Normal Value"
"2021","Fareham","E07000087","80 : Security and investigation activities","Full-time employees","Count","Value",450,"Normal Value"
"2021","Fareham","E07000087","80 : Security and investigation activities","Full-time employees","Industry percentage","Value",1.4,"Normal Value"
"2021","Fareham","E07000087","80 : Security and investigation activities","Part-time employees","Count","Value",45,"Normal Value"
"2021","Fareham","E07000087","80 : Security and investigation activities","Part-time employees","Industry percentage","Value",0.3,"Normal Value"
"2021","Fareham","E07000087","81 : Services to buildings and landscape activities","Employees","Count","Value",900,"Normal Value"
"2021","Fareham","E07000087","81 : Services to buildings and landscape activities","Employees","Industry percentage","Value",1.8,"Normal Value"
"2021","Fareham","E07000087","81 : Services to buildings and landscape activities","Full-time employees","Count","Value",500,"Normal Value"
"2021","Fareham","E07000087","81 : Services to buildings and landscape activities","Full-time employees","Industry percentage","Value",1.5,"Normal Value"
"2021","Fareham","E07000087","81 : Services to buildings and landscape activities","Part-time employees","Count","Value",350,"Normal Value"
"2021","Fareham","E07000087","81 : Services to buildings and landscape activities","Part-time employees","Industry percentage","Value",2.2,"Normal Value"
"2021","Fareham","E07000087","82 : Office administrative, office support and other business support activities","Employees","Count","Value",600,"Normal Value"
"2021","Fareham","E07000087","82 : Office administrative, office support and other business support activities","Employees","Industry percentage","Value",1.2,"Normal Value"
"2021","Fareham","E07000087","82 : Office administrative, office support and other business support activities","Full-time employees","Count","Value",400,"Normal Value"
"2021","Fareham","E07000087","82 : Office administrative, office support and other business support activities","Full-time employees","Industry percentage","Value",1.2,"Normal Value"
"2021","Fareham","E07000087","82 : Office administrative, office support and other business support activities","Part-time employees","Count","Value",200,"Normal Value"
"2021","Fareham","E07000087","82 : Office administrative, office support and other business support activities","Part-time employees","Industry percentage","Value",1.2,"Normal Value"
"2021","Fareham","E07000087","84 : Public administration and defence; compulsory social security","Employees","Count","Value",4000,"Normal Value"
"2021","Fareham","E07000087","84 : Public administration and defence; compulsory social security","Employees","Industry percentage","Value",8.2,"Normal Value"
"2021","Fareham","E07000087","84 : Public administration and defence; compulsory social security","Full-time employees","Count","Value",2500,"Normal Value"
"2021","Fareham","E07000087","84 : Public administration and defence; compulsory social security","Full-time employees","Industry percentage","Value",7.6,"Normal Value"
"2021","Fareham","E07000087","84 : Public administration and defence; compulsory social security","Part-time employees","Count","Value",1500,"Normal Value"
"2021","Fareham","E07000087","84 : Public administration and defence; compulsory social security","Part-time employees","Industry percentage","Value",9.4,"Normal Value"
"2021","Fareham","E07000087","85 : Education","Employees","Count","Value",4000,"Normal Value"
"2021","Fareham","E07000087","85 : Education","Employees","Industry percentage","Value",8.2,"Normal Value"
"2021","Fareham","E07000087","85 : Education","Full-time employees","Count","Value",2250,"Normal Value"
"2021","Fareham","E07000087","85 : Education","Full-time employees","Industry percentage","Value",6.8,"Normal Value"
"2021","Fareham","E07000087","85 : Education","Part-time employees","Count","Value",2000,"Normal Value"
"2021","Fareham","E07000087","85 : Education","Part-time employees","Industry percentage","Value",12.5,"Normal Value"
"2021","Fareham","E07000087","86 : Human health activities","Employees","Count","Value",2500,"Normal Value"
"2021","Fareham","E07000087","86 : Human health activities","Employees","Industry percentage","Value",5.1,"Normal Value"
"2021","Fareham","E07000087","86 : Human health activities","Full-time employees","Count","Value",1500,"Normal Value"
