"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_STATUS_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2016","Swale","E07000113","52 : Warehousing and support activities for transportation","Part-time employees","Count","Value",200,"Normal Value"
"2016","Swale","E07000113","52 : Warehousing and support activities for transportation","Part-time employees","Industry percentage","Value",1.3,"Normal Value"
"2016","Swale","E07000113","53 : Postal and courier activities","Employees","Count","Value",450,"Normal Value"
"2016","Swale","E07000113","53 : Postal and courier activities","Employees","Industry percentage","Value",0.9,"Normal Value"
"2016","Swale","E07000113","53 : Postal and courier activities","Full-time employees","Count","Value",350,"Normal Value"
"2016","Swale","E07000113","53 : Postal and courier activities","Full-time employees","Industry percentage","Value",1.0,"Normal Value"
"2016","Swale","E07000113","53 : Postal and courier activities","Part-time employees","Count","Value",100,"Normal Value"
"2016","Swale","E07000113","53 : Postal and courier activities","Part-time employees","Industry percentage","Value",0.7,"Normal Value"
"2016","Swale","E07000113","55 : Accommodation","Employees","Count","Value",450,"Normal Value"
"2016","Swale","E07000113","55 : Accommodation","Employees","Industry percentage","Value",0.9,"Normal Value"
"2016","Swale","E07000113","55 : Accommodation","Full-time employees","Count","Value",200,"Normal Value"
"2016","Swale","E07000113","55 : Accommodation","Full-time employees","Industry percentage","Value",0.6,"Normal Value"
"2016","Swale","E07000113","55 : Accommodation","Part-time employees","Count","Value",225,"Normal Value"
"2016","Swale","E07000113","55 : Accommodation","Part-time employees","Industry percentage","Value",1.5,"Normal Value"
"2016","Swale","E07000113","56 : Food and beverage service activities","Employees","Count","Value",2500,"Normal Value"
"2016","Swale","E07000113","56 : Food and beverage service activities","Employees","Industry percentage","Value",4.9,"Normal Value"
"2016","Swale","E07000113","56 : Food and beverage service activities","Full-time employees","Count","Value",1250,"Normal Value"
"2016","Swale","E07000113","56 : Food and beverage service activities","Full-time employees","Industry percentage","Value",3.6,"Normal Value"
"2016","Swale","E07000113","56 : Food and beverage service activities","Part-time employees","Count","Value",1500,"Normal Value"
"2016","Swale","E07000113","56 : Food and beverage service activities","Part-time employees","Industry percentage","Value",10.0,"Normal Value"
"2016","Swale","E07000113","58 : Publishing activities","Employees","Count","Value",100,"Normal Value"
"2016","Swale","E07000113","58 : Publishing activities","Employees","Industry percentage","Value",0.2,"Normal Value"
"2016","Swale","E07000113","58 : Publishing activities","Full-time employees","Count","Value",100,"Normal Value"
"2016","Swale","E07000113","58 : Publishing activities","Full-time employees","Industry percentage","Value",0.3,"Normal Value"
"2016","Swale","E07000113","58 : Publishing activities","Part-time employees","Count","Value",30,"Normal Value"
"2016","Swale","E07000113","58 : Publishing activities","Part-time employees","Industry percentage","Value",0.2,"Normal Value"
"2016","Swale","E07000113","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Employees","Count","Value",30,"Normal Value"
"2016","Swale","E07000113","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Employees","Industry percentage","Value",0.1,"Normal Value"
"2016","Swale","E07000113","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Full-time employees","Count","Value",25,"Normal Value"
"2016","Swale","E07000113","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2016","Swale","E07000113","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Part-time employees","Count","Value",5,"Normal Value"
"2016","Swale","E07000113","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2016","Swale","E07000113","60 : Programming and broadcasting activities","Employees","Count","Value",0,"Normal Value"
"2016","Swale","E07000113","60 : Programming and broadcasting activities","Employees","Industry percentage","Value",0.0,"Normal Value"
"2016","Swale","E07000113","60 : Programming and broadcasting activities","Full-time employees","Count","Value",0,"Normal Value"
"2016","Swale","E07000113","60 : Programming and broadcasting activities","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2016","Swale","E07000113","60 : Programming and broadcasting activities","Part-time employees","Count","Value",0,"Normal Value"
"2016","Swale","E07000113","60 : Programming and broadcasting activities","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2016","Swale","E07000113","61 : Telecommunications","Employees","Count","Value",75,"Normal Value"
"2016","Swale","E07000113","61 : Telecommunications","Employees","Industry percentage","Value",0.1,"Normal Value"
"2016","Swale","E07000113","61 : Telecommunications","Full-time employees","Count","Value",50,"Normal Value"
"2016","Swale","E07000113","61 : Telecommunications","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2016","Swale","E07000113","61 : Telecommunications","Part-time employees","Count","Value",10,"Normal Value"
"2016","Swale","E07000113","61 : Telecommunications","Part-time employees","Industry percentage","Value",0.1,"Normal Value"
"2016","Swale","E07000113","62 : Computer programming, consultancy and related activities","Employees","Count","Value",600,"Normal Value"
"2016","Swale","E07000113","62 : Computer programming, consultancy and related activities","Employees","Industry percentage","Value",1.2,"Normal Value"
"2016","Swale","E07000113","62 : Computer programming, consultancy and related activities","Full-time employees","Count","Value",500,"Normal Value"
"2016","Swale","E07000113","62 : Computer programming, consultancy and related activities","Full-time employees","Industry percentage","Value",1.4,"Normal Value"
"2016","Swale","E07000113","62 : Computer programming, consultancy and related activities","Part-time employees","Count","Value",75,"Normal Value"
"2016","Swale","E07000113","62 : Computer programming, consultancy and related activities","Part-time employees","Industry percentage","Value",0.5,"Normal Value"
"2016","Swale","E07000113","63 : Information service activities","Employees","Count","Value",40,"Normal Value"
"2016","Swale","E07000113","63 : Information service activities","Employees","Industry percentage","Value",0.1,"Normal Value"
"2016","Swale","E07000113","63 : Information service activities","Full-time employees","Count","Value",35,"Normal Value"
"2016","Swale","E07000113","63 : Information service activities","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2016","Swale","E07000113","63 : Information service activities","Part-time employees","Count","Value",5,"Normal Value"
"2016","Swale","E07000113","63 : Information service activities","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2016","Swale","E07000113","64 : Financial service activities, except insurance and pension funding","Employees","Count","Value",200,"Normal Value"
"2016","Swale","E07000113","64 : Financial service activities, except insurance and pension funding","Employees","Industry percentage","Value",0.4,"Normal Value"
"2016","Swale","E07000113","64 : Financial service activities, except insurance and pension funding","Full-time employees","Count","Value",125,"Normal Value"
"2016","Swale","E07000113","64 : Financial service activities, except insurance and pension funding","Full-time employees","Industry percentage","Value",0.4,"Normal Value"
